"high_income","male","married","higher_edu","managerial_occ","high_hours","gov_jobs","race","age","native_country"
1,0,6,9,1,40,8,4,53,39
1,1,6,10,4,50,6,4,49,39
0,1,1,10,10,32,8,4,19,39
0,0,4,13,12,40,8,3,31,39
1,1,6,13,12,70,3,4,29,39
0,1,1,10,7,40,8,4,23,39
0,1,6,10,10,20,8,4,79,39
0,1,1,9,8,40,8,4,27,26
0,1,6,12,1,40,8,4,40,39
0,0,1,7,8,22,8,4,18,39
0,1,6,4,5,40,4,4,31,39
0,1,1,9,12,30,8,4,18,39
0,1,6,13,8,40,8,4,52,5
0,0,6,9,8,40,8,4,46,39
0,1,6,9,12,48,8,4,59,39
1,0,2,9,3,40,8,4,44,39
0,0,2,9,12,35,8,4,53,39
1,1,6,9,11,40,4,4,49,39
0,1,6,14,10,50,8,4,33,39
0,1,1,5,12,40,8,4,30,39
1,0,1,16,10,50,7,4,43,39
0,1,6,11,10,40,8,4,57,39
0,0,2,10,3,40,8,4,37,39
0,0,2,10,7,25,8,3,28,39
1,1,6,13,11,40,4,4,34,39
0,1,1,10,6,50,4,4,29,39
1,1,6,16,10,60,3,4,48,39
1,1,6,10,12,48,8,4,37,39
0,0,2,12,4,40,8,4,48,9
0,1,1,9,8,40,7,3,32,39
1,1,6,14,4,40,8,4,76,39
1,1,6,13,4,60,8,4,44,39
0,0,1,14,10,50,3,4,47,39
0,0,1,10,13,40,8,4,20,39
0,1,1,9,3,40,8,4,29,39
1,1,6,9,3,40,6,4,32,39
0,1,1,7,6,40,8,4,30,39
0,0,1,9,1,40,4,4,31,39
0,1,6,9,6,40,8,4,42,39
0,1,1,13,12,40,8,4,24,39
1,1,6,15,10,40,8,4,38,39
1,1,6,9,8,50,3,4,56,2
0,0,6,10,12,25,8,4,28,39
0,0,1,9,7,40,8,4,36,39
0,1,6,5,6,50,8,4,53,39
0,1,6,10,12,50,6,4,56,39
1,1,6,11,3,40,4,3,49,39
0,1,6,10,12,56,8,4,55,39
0,1,1,9,3,41,8,4,22,39
0,0,1,10,8,40,8,4,21,39
0,1,6,13,4,60,8,4,40,39
0,1,1,13,4,40,8,3,30,11
1,1,6,13,10,50,5,4,29,39
0,1,1,10,8,35,8,3,19,39
1,0,6,13,4,40,8,4,47,39
0,0,1,10,1,28,8,4,20,39
1,1,6,12,1,40,8,4,31,39
0,1,2,10,3,40,8,4,39,39
0,0,1,12,12,60,8,4,28,39
0,0,1,9,8,40,8,4,24,39
0,1,6,9,3,35,3,4,38,39
0,1,6,13,12,50,8,4,37,39
0,0,2,12,13,36,8,3,46,39
1,1,6,14,10,40,7,4,38,20
0,1,6,9,3,60,3,4,43,39
0,0,6,11,1,35,8,4,27,39
0,1,1,10,12,20,8,4,20,39
1,1,6,10,3,40,8,2,49,39
0,1,6,9,3,40,6,4,61,39
0,0,1,10,12,40,8,4,27,39
0,1,1,10,8,30,8,4,19,26
1,0,1,11,10,40,8,4,45,39
0,1,1,10,13,40,8,4,70,39
0,0,1,9,14,30,8,3,31,39
0,1,6,10,8,24,8,4,22,39
0,0,3,9,8,24,8,4,36,39
0,1,6,7,3,40,8,4,64,39
0,0,2,10,1,38,4,4,47,26
0,0,1,9,1,40,8,4,34,39
0,0,1,13,4,40,8,2,33,30
0,1,1,9,3,35,8,4,21,39
0,1,6,9,3,46,8,4,48,39
0,1,1,13,6,40,8,4,23,39
0,1,4,10,12,2,3,3,71,39
0,1,2,9,3,60,8,4,29,39
0,1,4,13,8,50,8,3,42,39
0,0,1,9,8,40,8,4,25,39
0,0,2,14,4,40,6,2,44,39
0,0,1,9,4,40,8,2,28,9
1,1,6,14,12,40,3,4,45,39
0,0,2,10,8,40,8,4,36,26
0,1,1,12,4,42,7,4,39,39
0,1,3,14,11,40,5,4,46,39
0,1,1,7,6,16,8,4,18,39
0,0,3,11,10,20,4,4,66,39
0,1,1,9,8,40,8,4,27,39
0,1,6,9,11,40,5,4,28,39
1,1,6,10,12,40,8,4,51,39
0,1,1,13,3,50,8,4,27,39
1,1,6,13,10,40,5,4,28,39
0,0,5,9,12,25,8,4,27,39
0,1,1,9,3,40,8,3,21,39
0,1,1,9,6,40,8,3,34,39
0,1,1,9,8,12,8,4,18,39
0,1,6,13,10,65,8,4,33,39
1,1,6,10,4,38,4,3,44,39
0,0,2,10,1,40,8,4,43,39
0,1,1,10,3,45,8,3,30,39
1,1,6,4,7,40,8,4,40,26
1,1,6,10,1,42,7,4,37,39
0,1,6,9,1,40,8,3,34,39
0,0,2,13,4,40,3,4,41,39
0,0,6,14,10,50,8,4,31,39
1,1,6,16,10,1,5,4,58,39
0,0,2,10,7,28,8,3,38,39
0,1,6,10,7,40,8,4,24,39
0,1,6,13,3,40,4,3,41,39
0,1,6,10,13,45,8,4,47,39
0,1,6,13,13,24,7,4,41,39
0,1,6,3,14,40,8,4,23,26
0,1,2,10,3,40,8,4,36,39
1,0,1,14,4,55,7,4,40,39
1,1,6,14,10,40,8,4,35,39
0,1,1,9,12,40,3,4,24,39
0,0,1,14,10,40,8,4,26,39
1,1,6,13,4,50,8,4,51,39
0,0,1,10,10,40,4,4,42,39
0,0,2,9,1,35,5,4,37,39
0,0,1,7,12,40,8,4,18,39
1,1,6,13,8,36,8,3,36,39
0,1,2,9,3,60,8,4,35,39
1,0,6,9,12,35,6,4,58,39
0,0,1,7,12,12,8,4,17,39
0,1,6,9,14,40,4,3,44,39
1,1,6,9,3,40,8,4,37,39
0,0,1,10,12,40,8,1,35,39
0,1,6,9,3,40,8,2,60,39
1,1,6,4,7,40,6,4,54,39
1,1,1,13,4,60,8,3,37,39
0,0,2,12,12,40,8,4,50,39
0,1,6,13,12,50,8,4,38,31
0,1,6,13,10,55,8,4,45,39
0,1,1,6,3,40,8,4,25,39
0,1,6,10,6,40,8,4,31,39
0,1,1,9,8,40,8,3,90,39
0,1,6,9,1,20,8,3,54,39
0,0,1,1,7,35,4,4,53,39
0,0,1,9,12,40,8,4,18,39
0,1,6,9,5,50,3,4,66,39
0,0,3,11,1,20,8,4,75,4
0,0,2,9,1,40,8,4,65,39
0,1,4,7,14,40,8,3,35,39
0,0,2,9,12,38,8,3,41,39
0,1,1,10,1,42,8,4,25,39
1,1,1,15,10,55,8,4,28,39
0,1,6,9,8,40,5,4,59,39
0,0,1,10,1,38,5,4,40,39
1,1,6,13,4,50,8,4,41,20
1,1,6,14,4,70,4,4,38,39
0,1,1,9,14,40,8,4,23,39
1,1,6,13,10,40,8,4,40,39
0,0,6,9,8,20,3,4,41,39
0,1,6,12,11,50,5,4,24,39
0,1,2,10,3,40,8,4,38,39
1,1,6,9,1,45,8,4,58,39
0,0,1,9,8,34,8,4,32,39
1,1,6,12,13,60,8,4,40,39
1,0,6,15,10,40,8,4,41,39
0,0,6,13,1,40,8,3,42,39
0,0,3,6,8,30,4,3,59,39
0,1,1,10,1,40,4,4,19,39
0,1,1,10,14,20,8,4,58,39
1,1,6,9,5,40,3,2,42,1
0,0,1,9,8,40,8,4,20,39
0,0,4,9,8,30,8,4,32,39
0,0,3,11,4,45,8,4,45,39
0,1,2,4,3,40,8,4,50,39
0,0,2,13,10,40,8,4,36,39
0,1,6,9,12,60,8,4,45,39
0,1,1,7,8,12,8,4,17,39
0,1,6,10,12,40,8,4,59,39
0,1,6,7,3,40,8,4,26,39
1,1,6,10,4,75,6,2,37,37
1,1,6,9,4,40,8,4,64,39
0,0,1,13,10,45,8,4,33,39
1,0,6,9,3,40,8,4,33,39
1,1,6,9,4,40,8,4,61,39
0,1,1,5,8,24,8,4,17,39
0,1,6,14,5,98,3,4,50,39
0,1,1,14,10,35,4,4,27,39
0,0,2,9,10,40,8,4,30,39
0,1,6,9,6,40,8,3,43,39
1,1,6,10,3,40,8,4,44,39
0,0,1,10,4,40,8,4,35,39
0,0,1,10,13,40,8,4,25,39
1,0,6,10,7,48,8,4,24,39
0,0,1,13,10,15,8,4,22,11
1,1,6,10,3,40,4,4,42,39
0,0,2,12,12,45,8,3,34,39
0,0,2,13,10,42,8,4,60,39
0,1,1,9,6,40,8,4,21,39
1,1,6,14,12,40,7,4,57,39
1,1,6,15,10,60,8,4,41,39
0,1,2,10,8,45,8,4,50,39
0,0,1,13,4,40,8,4,25,39
0,1,6,4,3,40,8,4,50,7
0,1,6,13,10,45,8,4,36,39
0,0,2,9,10,40,8,4,31,39
0,1,1,13,11,56,4,4,29,39
0,1,1,10,12,45,8,4,21,39
0,0,1,13,13,40,8,3,27,39
0,1,6,9,14,16,8,4,65,39
0,0,2,13,12,60,6,4,37,39
0,1,1,9,3,40,8,4,24,39
0,1,2,9,12,80,8,4,38,39
1,1,6,13,1,40,8,4,48,39
0,0,1,10,8,25,8,2,21,39
1,1,6,9,14,45,8,4,31,39
1,1,6,9,12,40,8,4,55,39
0,0,6,10,1,40,8,2,24,25
0,0,2,9,1,40,8,4,43,39
0,1,1,12,13,45,8,4,26,39
0,0,1,12,10,33,8,4,46,39
1,1,6,12,1,40,8,4,35,39
1,1,6,10,5,54,6,4,41,39
0,1,1,13,12,40,8,4,26,39
1,1,6,14,4,35,8,2,34,36
1,0,2,13,10,40,3,3,36,39
0,1,1,10,12,15,8,4,22,39
0,1,1,10,7,40,8,4,24,39
0,1,6,10,12,40,3,4,77,39
0,0,6,3,7,40,8,4,22,26
0,0,1,10,13,40,8,4,29,39
0,0,3,9,8,24,8,4,62,39
0,1,6,9,4,40,3,4,39,39
0,1,6,10,3,50,8,4,43,39
0,1,2,9,14,45,8,4,35,39
0,0,1,7,4,40,8,4,29,39
0,1,6,14,3,10,3,4,76,39
0,1,6,9,5,45,3,4,63,39
1,0,6,10,10,50,8,4,43,39
0,1,6,9,6,40,3,4,58,39
0,1,1,9,14,55,8,4,66,39
0,1,1,10,3,45,8,3,41,39
0,1,1,13,1,40,8,4,26,39
0,1,1,11,8,40,8,4,47,39
0,1,6,6,1,40,4,4,55,39
0,1,6,9,14,40,8,4,53,39
0,1,1,3,8,48,8,4,17,26
0,1,1,9,3,40,8,4,30,39
0,1,1,14,10,60,8,4,49,39
0,1,1,9,12,30,8,3,19,14
0,1,6,9,8,40,8,3,45,39
0,1,1,12,12,40,8,4,26,39
1,1,6,11,3,40,8,4,38,39
1,1,6,9,11,40,5,4,36,39
0,1,1,9,5,20,8,4,33,39
0,0,1,10,11,40,5,3,22,39
0,1,1,13,12,42,3,4,43,39
0,1,5,12,8,25,8,4,56,20
0,1,1,13,10,25,8,4,31,39
1,1,6,13,4,40,8,4,33,39
0,1,6,9,8,40,8,4,26,39
1,1,6,13,4,40,8,4,33,39
0,1,6,7,14,30,4,4,46,39
1,1,6,9,1,40,7,4,38,39
1,1,6,11,13,40,8,4,40,39
0,0,6,9,1,35,8,4,42,39
0,1,6,5,3,40,3,4,26,32
0,0,6,6,8,24,8,4,36,39
1,1,6,14,10,40,8,4,62,39
0,1,6,13,14,45,8,4,43,39
1,1,2,13,4,45,8,4,43,39
0,1,5,9,12,55,8,4,22,39
0,1,6,9,3,40,8,4,28,39
0,1,6,10,12,45,3,4,56,39
0,0,1,12,12,15,8,4,22,39
1,0,2,13,4,45,8,4,57,39
0,0,2,9,12,40,8,4,39,39
0,0,1,10,1,15,7,4,26,39
0,1,1,7,8,10,8,4,17,39
1,1,6,11,7,38,5,4,40,39
0,1,6,9,7,40,8,3,45,39
0,1,1,9,3,40,8,3,44,39
0,0,1,10,1,10,4,4,20,39
0,0,6,9,3,40,8,4,33,39
0,1,1,10,12,40,8,4,23,39
0,1,2,14,4,30,3,4,46,39
0,1,6,9,12,50,8,4,38,39
0,1,2,9,14,40,8,4,54,39
0,0,2,3,3,45,8,4,46,39
0,1,6,10,3,40,8,4,25,39
0,0,2,10,12,40,8,4,46,39
0,0,6,10,14,40,4,4,36,39
0,0,1,9,8,25,8,4,23,39
0,1,4,9,7,40,8,4,29,39
1,0,6,10,1,6,8,4,44,39
0,0,1,10,1,16,8,4,19,39
0,0,1,9,8,40,8,4,19,39
1,0,6,9,8,40,8,4,35,39
0,1,1,13,3,50,8,4,27,39
0,1,4,12,3,40,3,4,46,39
0,0,1,9,8,35,8,4,34,39
0,1,6,10,13,40,8,4,44,39
0,0,2,10,6,40,8,4,45,39
1,1,6,13,4,55,8,4,25,39
1,1,6,13,4,50,6,4,52,39
0,1,1,10,6,40,8,4,20,39
0,0,1,10,8,40,8,4,28,39
1,1,6,13,11,40,5,4,50,39
0,0,2,11,13,64,8,4,34,39
1,1,6,14,4,65,8,4,41,39
0,1,6,9,1,40,8,4,28,39
0,1,6,9,3,25,3,4,46,39
0,1,6,10,4,50,8,4,32,39
0,0,2,10,8,24,4,3,41,39
0,0,1,9,6,40,8,3,24,39
0,0,2,10,4,40,8,4,33,39
1,1,6,16,4,60,8,4,46,39
0,1,6,10,7,40,5,4,31,39
1,1,2,8,3,50,8,4,35,39
0,1,6,2,7,40,8,4,52,26
0,0,1,7,8,19,8,4,30,39
0,1,4,7,7,40,4,3,34,39
0,0,2,9,14,40,5,4,34,39
0,1,6,10,12,30,8,4,20,39
0,1,1,7,6,18,8,4,17,39
1,0,6,13,4,40,5,4,32,39
0,1,2,9,5,40,8,4,29,39
0,0,1,6,3,35,8,4,33,39
0,1,6,9,14,60,8,4,25,39
0,1,1,14,10,40,7,4,36,39
0,1,1,9,6,72,8,4,23,6
1,1,6,9,4,40,6,4,63,39
0,1,6,14,10,40,4,4,47,39
0,0,5,13,10,40,3,4,40,39
1,0,6,12,8,25,8,4,30,39
0,1,1,10,3,40,8,2,27,30
1,1,6,14,10,50,8,4,33,39
0,1,1,9,5,60,4,3,34,39
0,0,1,10,11,40,4,4,34,39
0,1,6,10,1,40,8,4,23,39
0,0,6,10,1,40,4,4,42,39
0,1,1,13,10,40,8,4,29,39
0,0,2,9,1,28,8,4,45,39
0,1,1,9,2,40,7,4,24,39
1,1,6,10,10,40,8,4,44,39
0,1,1,5,3,40,8,4,27,26
0,1,1,10,12,35,8,4,20,39
0,0,3,9,4,40,8,3,44,39
0,1,6,9,3,40,8,1,51,39
0,1,6,9,7,40,8,4,20,39
0,0,1,9,7,40,8,3,19,39
1,1,6,10,3,55,6,4,45,39
1,1,6,9,3,40,8,4,60,39
1,0,6,9,12,40,3,4,44,39
1,1,6,11,7,40,8,2,40,39
0,0,6,9,4,40,8,4,30,39
0,1,6,10,14,50,8,3,38,39
0,1,6,9,14,60,8,4,23,39
0,1,1,12,5,40,8,4,44,39
0,1,6,9,14,40,4,3,54,39
0,1,6,13,10,50,8,4,32,39
0,1,5,2,3,40,8,4,50,39
0,0,1,13,13,20,8,4,24,39
0,0,6,9,1,60,8,4,37,39
0,1,2,9,14,40,8,4,52,39
0,1,6,10,14,40,8,4,38,39
1,1,6,14,4,45,8,4,49,39
1,0,6,13,13,16,8,4,30,39
1,1,1,10,10,40,8,4,60,39
0,1,1,9,3,40,8,4,35,39
0,1,1,9,14,60,8,4,30,39
0,0,2,11,8,24,8,4,67,39
0,0,1,13,3,40,8,4,46,39
0,1,1,5,8,6,8,4,17,39
0,1,1,10,6,30,8,4,22,39
0,1,1,6,8,40,8,4,27,39
0,0,1,9,8,35,8,4,23,39
0,1,6,12,3,45,8,4,33,32
0,1,6,10,3,20,3,4,43,39
0,1,1,13,10,20,5,4,28,39
0,0,5,9,3,40,8,4,41,39
0,0,5,10,1,20,8,3,25,39
0,1,6,9,14,45,4,4,59,39
0,0,2,13,10,40,4,4,45,39
1,1,6,13,12,60,8,4,38,39
0,0,1,9,8,35,8,4,40,39
0,1,2,9,1,40,7,4,46,39
0,0,1,12,4,60,8,4,35,39
0,0,2,9,10,25,8,4,34,39
0,1,1,13,3,20,8,4,33,39
0,0,2,9,1,36,8,4,41,39
0,1,1,10,7,40,8,4,20,39
0,1,1,3,8,40,8,4,23,8
0,0,1,10,10,35,8,4,26,39
0,1,1,9,5,40,4,4,23,31
0,1,6,9,14,40,4,4,62,39
0,1,6,10,1,40,8,4,52,39
0,0,2,10,8,42,8,4,58,10
0,0,1,13,12,40,8,4,25,39
0,1,1,13,4,40,8,3,24,39
0,1,1,10,11,8,8,4,19,39
0,1,6,10,4,40,8,4,43,39
0,0,4,9,1,40,4,3,47,39
0,0,2,9,8,40,8,4,39,39
0,1,5,11,6,42,8,4,49,39
0,1,1,11,3,45,8,4,32,39
1,1,6,10,10,50,8,4,34,39
0,1,2,9,3,45,8,4,28,39
0,0,1,10,1,20,8,1,25,39
1,1,6,13,10,50,8,4,34,39
1,1,6,13,4,80,6,4,38,39
1,1,6,9,4,50,8,4,50,39
0,1,2,10,6,50,4,3,24,39
1,1,6,10,13,45,4,4,37,39
1,1,2,10,7,58,8,4,44,39
0,0,6,10,12,40,8,4,28,39
1,1,6,13,4,40,8,4,42,39
0,0,2,10,1,9,8,4,74,39
0,1,6,9,3,50,3,4,38,39
0,1,6,14,10,40,3,4,44,39
0,1,1,9,7,40,8,4,26,39
0,1,6,9,8,40,8,3,36,39
1,0,6,12,4,50,8,4,41,39
1,1,6,15,10,48,8,4,67,39
0,1,6,8,13,50,4,4,39,39
0,0,3,2,9,30,8,3,57,39
0,1,4,11,3,40,8,4,29,39
0,0,1,13,5,45,6,4,31,39
0,1,6,10,14,40,8,4,44,39
0,1,1,16,10,40,8,4,29,39
0,0,1,10,6,40,8,4,30,39
0,1,1,9,14,40,8,4,27,39
0,1,6,10,12,50,8,4,27,39
0,0,1,9,6,45,8,4,32,39
0,0,6,6,8,8,8,4,58,39
0,1,6,10,11,40,4,4,35,39
0,1,1,9,6,36,8,4,21,39
0,1,1,10,3,40,8,4,28,39
0,1,2,10,4,50,3,4,46,39
0,0,4,9,8,40,3,4,36,39
0,0,3,7,1,40,8,4,72,39
0,0,6,9,7,40,8,3,35,39
1,0,2,11,3,40,7,3,33,39
0,0,1,7,7,40,8,4,69,39
0,1,6,9,7,40,8,4,35,39
0,0,6,9,13,32,8,4,34,39
0,1,6,7,8,40,8,4,30,26
0,1,1,13,14,55,8,4,28,39
1,1,6,13,12,35,8,4,54,39
1,1,6,10,10,50,8,4,47,39
0,0,1,9,6,40,8,3,24,39
1,1,6,13,10,60,3,4,52,39
0,1,1,9,6,48,8,1,20,39
0,1,6,14,4,45,6,4,43,39
0,0,4,4,8,40,8,4,45,26
0,1,4,9,3,35,3,4,29,39
0,1,2,14,4,42,8,4,47,39
0,1,1,9,3,40,8,4,24,39
0,1,6,9,10,40,8,4,51,39
0,1,1,7,12,12,8,4,17,39
1,1,6,11,3,40,8,4,37,39
0,0,1,16,10,70,8,4,27,39
1,1,6,13,4,40,8,4,29,39
0,0,2,12,12,35,3,4,36,39
0,0,1,13,10,40,4,4,58,39
0,1,6,10,3,45,3,4,26,39
1,1,6,9,12,40,8,4,57,39
0,1,6,9,3,40,8,4,59,39
0,1,6,9,7,40,8,4,27,39
0,1,1,13,13,40,3,4,31,39
0,0,1,10,12,24,8,4,21,39
0,1,1,10,1,60,8,4,29,39
0,1,1,7,8,40,8,4,18,39
1,1,6,6,3,47,8,4,52,39
0,1,2,13,10,80,6,4,57,39
1,1,1,4,14,48,8,4,60,39
1,1,6,13,10,40,8,4,31,2
0,0,1,13,1,40,8,4,23,39
0,1,1,9,12,40,8,4,27,39
1,1,6,15,10,50,3,4,42,39
0,1,1,10,13,40,8,4,25,39
0,0,1,13,10,45,8,4,49,39
0,1,1,13,13,40,8,4,32,39
0,1,1,10,1,28,8,4,19,39
0,0,2,4,8,40,8,4,60,39
0,1,6,5,8,40,4,4,42,39
0,1,1,12,5,40,3,4,35,39
0,0,1,9,1,37,8,3,48,39
1,1,6,14,3,40,8,4,51,39
0,1,1,9,3,40,8,1,29,39
0,1,4,9,4,40,4,3,36,39
0,0,1,6,8,21,8,4,17,39
0,0,2,14,10,60,8,4,52,39
0,1,1,9,3,40,8,4,24,39
0,1,6,9,6,50,8,4,24,39
0,1,1,13,10,40,4,4,26,39
0,0,1,13,8,20,8,4,27,39
0,1,1,9,6,60,8,4,39,39
0,1,6,9,14,45,8,3,30,39
0,1,6,9,4,32,3,4,50,39
0,1,6,13,12,55,6,4,52,39
1,1,6,15,10,45,8,4,46,39
0,0,1,13,12,20,8,4,23,39
0,0,3,7,8,20,8,3,45,39
0,0,3,5,9,24,8,3,65,39
0,1,6,11,14,55,8,4,29,39
0,1,5,5,6,40,8,4,47,8
0,1,1,9,5,60,8,3,30,39
1,1,6,9,12,45,8,4,34,39
0,1,6,9,12,64,3,4,38,39
1,1,6,10,4,40,8,4,33,39
1,1,6,13,12,26,8,4,49,39
0,0,1,10,8,40,3,3,47,39
0,0,4,6,8,40,4,3,49,39
1,1,6,10,3,60,8,4,43,39
1,0,6,13,1,40,8,3,30,39
0,1,6,9,3,60,3,4,58,39
0,0,1,9,8,14,8,4,19,39
0,1,1,13,6,40,8,4,21,39
1,1,6,13,4,60,8,4,33,39
0,1,6,3,14,50,6,4,47,5
1,1,6,16,10,60,3,4,52,39
0,1,2,9,3,55,8,4,26,39
0,1,6,9,3,40,8,4,60,39
0,1,1,10,6,40,8,4,21,39
1,1,6,10,12,50,8,4,36,39
0,1,6,10,3,45,8,4,31,39
1,1,4,16,10,40,6,4,50,39
0,0,2,9,1,40,4,4,31,39
0,1,6,9,3,15,8,4,71,39
1,1,6,13,13,40,5,4,30,39
0,1,1,10,8,20,8,4,20,39
0,1,1,9,4,50,8,4,24,39
1,1,6,16,10,40,8,2,35,36
0,0,4,10,4,45,5,4,38,39
0,0,1,9,7,32,8,4,27,39
0,0,1,10,1,40,5,2,29,30
0,1,6,9,3,45,8,4,34,39
0,1,6,4,3,35,8,4,44,39
1,1,6,9,7,40,8,4,43,39
1,1,6,8,6,40,3,3,44,39
0,1,1,14,12,60,8,4,35,39
0,1,1,10,10,40,8,4,27,39
0,1,1,14,10,38,4,4,43,39
0,0,1,10,12,25,8,4,20,39
1,0,2,12,10,40,8,4,42,39
0,1,6,10,14,40,5,4,27,39
1,1,6,9,3,40,8,3,42,39
0,1,1,5,7,40,8,4,24,39
0,1,2,10,4,40,7,4,48,39
0,1,1,7,5,10,3,4,17,39
1,1,6,13,4,40,8,4,33,39
1,1,6,9,12,50,6,4,50,39
0,0,1,9,12,40,8,4,22,39
0,1,1,8,8,16,8,4,17,39
0,1,6,10,1,40,8,4,32,26
0,1,1,9,3,45,8,4,31,39
0,1,3,9,4,50,3,4,58,39
0,1,1,9,11,48,4,4,29,39
1,1,6,11,3,40,8,4,37,32
1,1,6,9,3,40,3,4,34,39
0,1,4,10,4,40,4,3,23,39
0,0,1,7,1,5,5,4,18,39
0,0,2,9,4,40,8,4,34,39
0,0,6,13,10,55,4,4,45,39
0,1,1,14,4,35,8,4,41,6
0,1,1,9,8,30,8,4,26,39
0,1,6,10,5,40,4,4,54,39
0,0,1,10,7,45,8,3,24,39
0,1,6,10,10,50,8,4,42,39
0,1,1,10,10,20,8,4,20,39
0,0,1,13,13,20,5,4,23,39
1,1,1,14,10,60,8,4,35,39
1,1,6,14,13,40,8,4,31,39
0,0,1,13,10,40,8,4,30,31
0,0,1,9,12,20,8,4,19,39
0,1,1,13,10,50,4,4,36,39
0,0,3,13,12,40,8,4,31,5
0,1,1,10,6,30,8,4,21,39
0,1,6,10,3,40,3,4,31,39
1,0,2,16,10,65,8,4,46,39
1,0,2,13,4,50,8,4,44,39
0,1,6,8,8,40,8,3,40,23
0,1,1,10,12,40,8,3,45,39
0,1,6,9,3,35,8,4,60,39
0,1,1,7,8,25,8,4,18,39
0,1,6,13,10,40,8,4,28,39
0,0,2,10,1,40,8,3,36,39
0,1,6,11,13,40,8,4,40,39
0,0,2,13,1,35,4,4,36,16
0,0,4,9,8,40,8,3,31,39
0,1,6,9,7,40,8,4,33,39
0,0,1,9,13,40,5,4,19,39
0,0,1,10,12,15,8,4,22,39
1,1,6,13,4,45,8,4,34,39
0,1,1,9,8,40,8,4,33,39
0,1,6,9,3,60,8,4,41,39
0,1,1,13,10,40,8,4,29,39
1,1,6,9,4,42,4,4,50,39
1,1,6,13,4,45,8,4,42,39
0,0,6,9,12,40,8,4,44,39
0,0,1,10,8,20,8,4,20,39
0,1,6,9,8,40,8,4,31,26
0,0,1,10,8,24,8,4,23,39
0,0,2,10,1,40,8,2,55,39
0,1,6,11,1,45,8,4,26,39
0,0,1,11,8,15,8,4,25,39
0,1,6,10,3,40,8,4,35,39
0,0,1,10,12,36,8,3,36,39
0,1,6,13,10,50,5,4,43,39
0,0,3,9,8,20,8,3,56,39
1,1,6,13,13,40,8,4,42,39
0,0,1,10,8,25,8,4,19,39
0,1,6,9,14,72,3,4,55,39
1,0,1,14,4,50,8,4,42,39
0,1,1,11,13,40,8,4,26,39
0,1,1,8,6,20,8,4,17,39
1,0,6,13,10,40,4,4,42,39
1,1,6,9,14,40,8,4,55,39
0,0,1,10,1,40,8,3,32,39
0,1,1,7,3,40,8,3,29,14
0,1,6,13,10,37,5,4,46,39
1,1,6,13,4,40,5,4,29,39
0,1,1,13,10,20,8,4,22,39
0,1,6,6,3,40,3,4,58,39
0,1,1,9,14,50,8,4,23,39
0,1,1,9,6,40,8,4,39,39
0,1,1,11,3,38,8,4,27,39
1,1,6,9,14,40,8,4,54,39
0,0,1,13,10,45,4,4,33,39
1,0,6,9,1,40,7,4,46,39
0,1,1,9,5,40,8,3,37,39
